               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.015187,            0.026691,           0.0010626,             0.99466,             0.97384,             0.98751,             0.89626,             0.01056,            0.026365,          0.00063936,           0.0032951,           0.0032951,           0.0032951
                  60,            0.015244,            0.026906,            0.001031,             0.99322,             0.97711,             0.98751,             0.89672,            0.010634,            0.026533,           0.0006215,           0.0032193,           0.0032193,           0.0032193
                  61,            0.015052,            0.026746,          0.00099648,             0.99474,             0.97235,             0.98673,             0.89674,            0.010562,            0.026324,          0.00064947,           0.0031435,           0.0031435,           0.0031435
                  62,            0.014966,            0.026968,          0.00095613,             0.99381,              0.9753,             0.98705,             0.89905,            0.010532,            0.026331,          0.00065318,           0.0030678,           0.0030678,           0.0030678
                  63,            0.014863,            0.026527,          0.00095894,             0.99483,             0.97576,             0.98778,             0.89921,            0.010556,            0.026172,          0.00063447,            0.002992,            0.002992,            0.002992
                  64,            0.014755,            0.026008,          0.00093048,             0.99523,             0.97633,             0.98822,             0.90219,            0.010482,            0.025936,          0.00060964,           0.0029162,           0.0029162,           0.0029162
                  65,            0.014627,            0.025901,          0.00089238,             0.99265,             0.97643,             0.98777,             0.90052,            0.010353,            0.026128,          0.00060909,           0.0028405,           0.0028405,           0.0028405
                  66,            0.014356,            0.025555,          0.00088473,             0.99554,              0.9743,             0.98801,             0.90182,             0.01025,            0.026136,          0.00060786,           0.0027647,           0.0027647,           0.0027647
                  67,            0.014395,            0.025735,          0.00089782,             0.99206,             0.97808,             0.98908,             0.90328,            0.010494,            0.026259,          0.00055851,           0.0026889,           0.0026889,           0.0026889
                  68,            0.014064,               0.025,          0.00087134,             0.99446,             0.97528,             0.98789,             0.90257,            0.010161,            0.025966,          0.00055047,           0.0026131,           0.0026131,           0.0026131
                  69,            0.014134,             0.02507,          0.00090735,             0.99476,             0.97588,             0.98813,             0.90377,            0.010135,             0.02575,          0.00056061,           0.0025374,           0.0025374,           0.0025374
                  70,             0.01398,            0.024606,          0.00085149,             0.99463,             0.97529,             0.98811,             0.90263,            0.010192,            0.025712,          0.00052903,           0.0024616,           0.0024616,           0.0024616
                  71,            0.014124,            0.024983,          0.00085961,             0.99423,             0.97536,             0.98695,             0.90421,            0.010148,            0.025962,          0.00053575,           0.0023858,           0.0023858,           0.0023858
                  72,            0.014004,            0.024725,            0.000836,             0.99477,             0.97542,             0.98813,             0.90513,           0.0099602,            0.025525,          0.00052979,             0.00231,             0.00231,             0.00231
                  73,            0.013574,            0.023963,          0.00084598,              0.9939,             0.97734,             0.98837,             0.90685,           0.0099517,            0.025594,          0.00051697,           0.0022343,           0.0022343,           0.0022343
                  74,            0.013758,            0.024922,          0.00085326,             0.99477,             0.97546,             0.98686,             0.90586,            0.010039,            0.025704,          0.00050285,           0.0021585,           0.0021585,           0.0021585
                  75,            0.013778,            0.024606,          0.00082824,             0.99444,             0.97484,             0.98692,             0.90625,           0.0099755,            0.025566,          0.00048588,           0.0020827,           0.0020827,           0.0020827
                  76,            0.013479,            0.024044,          0.00079529,             0.99495,             0.97626,              0.9877,              0.9063,           0.0098539,            0.025382,          0.00048367,           0.0020069,           0.0020069,           0.0020069
                  77,            0.013556,            0.024496,          0.00080758,             0.99418,             0.97613,             0.98757,             0.90867,           0.0098118,            0.025233,           0.0004986,           0.0019312,           0.0019312,           0.0019312
                  78,            0.013255,            0.023724,          0.00080036,             0.99436,             0.97685,              0.9871,             0.90741,           0.0098195,            0.025161,          0.00049645,           0.0018554,           0.0018554,           0.0018554
                  79,            0.013099,            0.024039,          0.00076602,             0.99524,             0.97308,             0.98658,             0.90632,           0.0098632,            0.025424,          0.00048314,           0.0017796,           0.0017796,           0.0017796
                  80,             0.01343,            0.024514,          0.00078261,             0.99437,              0.9785,             0.98809,             0.91061,           0.0098119,            0.025199,          0.00048737,           0.0017038,           0.0017038,           0.0017038
                  81,            0.012915,            0.022814,          0.00077139,             0.99421,             0.97581,               0.988,             0.91064,           0.0097924,             0.02499,          0.00045982,           0.0016281,           0.0016281,           0.0016281
                  82,            0.013072,            0.023248,          0.00078595,             0.99322,             0.97652,             0.98685,              0.9113,           0.0096728,            0.024908,          0.00044088,           0.0015523,           0.0015523,           0.0015523
                  83,            0.012825,            0.022415,          0.00074004,             0.99509,             0.97553,             0.98771,             0.91094,           0.0096593,            0.024995,          0.00044649,           0.0014765,           0.0014765,           0.0014765
                  84,            0.012946,            0.022874,          0.00072653,             0.99495,             0.97684,             0.98779,             0.91229,           0.0095871,            0.024774,          0.00043981,           0.0014007,           0.0014007,           0.0014007
                  85,            0.012926,            0.022594,          0.00074277,              0.9937,             0.97758,             0.98792,             0.91264,           0.0095831,             0.02493,          0.00042506,            0.001325,            0.001325,            0.001325
                  86,            0.012734,             0.02271,          0.00072878,             0.99496,             0.97605,             0.98804,             0.91221,           0.0095805,            0.024952,          0.00042123,           0.0012492,           0.0012492,           0.0012492
                  87,            0.012652,            0.022572,          0.00071979,             0.99518,              0.9758,             0.98852,             0.91417,            0.009462,            0.024589,          0.00041477,           0.0011734,           0.0011734,           0.0011734
                  88,            0.012397,            0.022116,          0.00071419,             0.99499,             0.97591,             0.98783,             0.91469,           0.0094322,            0.024869,          0.00040693,           0.0010976,           0.0010976,           0.0010976
                  89,            0.012567,            0.022489,           0.0007061,              0.9952,             0.97566,             0.98756,             0.91403,           0.0094476,            0.025058,           0.0003851,           0.0010219,           0.0010219,           0.0010219
                  90,            0.012301,            0.021494,          0.00072119,             0.99511,             0.97616,             0.98773,              0.9147,           0.0094195,            0.025107,          0.00038389,           0.0009461,           0.0009461,           0.0009461
                  91,            0.012177,            0.021643,          0.00069473,             0.99531,             0.97476,             0.98744,             0.91535,           0.0093712,            0.024797,          0.00037396,          0.00087032,          0.00087032,          0.00087032
                  92,            0.012245,            0.021537,          0.00069394,              0.9934,             0.97613,             0.98786,             0.91695,           0.0092959,            0.024813,          0.00037227,          0.00079455,          0.00079455,          0.00079455
                  93,            0.012173,            0.021153,           0.0006552,             0.99555,             0.97527,             0.98739,              0.9159,           0.0092972,            0.024821,           0.0003753,          0.00071878,          0.00071878,          0.00071878
                  94,            0.012267,            0.021491,          0.00067929,             0.99501,             0.97654,               0.988,             0.91695,           0.0092923,            0.024784,          0.00036837,            0.000643,            0.000643,            0.000643
                  95,            0.012149,            0.021421,          0.00066416,             0.99459,             0.97636,             0.98748,             0.91749,           0.0092626,            0.024609,           0.0003651,          0.00056723,          0.00056723,          0.00056723
                  96,            0.011843,            0.020818,          0.00065972,             0.99583,              0.9772,               0.988,             0.91834,           0.0092104,            0.024527,           0.0003576,          0.00049145,          0.00049145,          0.00049145
                  97,            0.012137,            0.021338,           0.0006614,             0.99456,             0.97715,             0.98804,             0.91839,           0.0091786,            0.024606,          0.00035329,          0.00041568,          0.00041568,          0.00041568
                  98,            0.012037,            0.021183,          0.00064752,             0.99489,             0.97751,              0.9882,             0.91975,            0.009163,            0.024649,          0.00034664,           0.0003399,           0.0003399,           0.0003399
                  99,             0.01226,            0.021465,          0.00066455,             0.99452,             0.97712,             0.98804,             0.92003,           0.0091464,            0.024585,          0.00034477,          0.00026413,          0.00026413,          0.00026413
