               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  46,             0.01417,           0.0080276,           0.0010102,             0.93139,             0.94705,             0.98028,             0.93593,           0.0074252,            0.004932,          0.00032871,           0.0063261,           0.0063261,           0.0063261
                  47,            0.014223,           0.0080733,            0.001037,             0.93209,             0.94679,             0.98035,             0.93557,           0.0074326,           0.0049364,          0.00032758,           0.0062958,           0.0062958,           0.0062958
                  48,            0.013952,           0.0079708,          0.00096576,             0.92993,             0.94774,             0.98042,             0.93589,           0.0074254,            0.004914,          0.00032788,           0.0062654,           0.0062654,           0.0062654
                  49,            0.013872,           0.0079681,          0.00097894,             0.92944,             0.94874,             0.98046,             0.93635,           0.0074009,           0.0049121,          0.00032732,           0.0062351,           0.0062351,           0.0062351
                  50,             0.01411,           0.0080675,           0.0010049,             0.93111,             0.94825,             0.98055,             0.93649,           0.0073892,           0.0049064,          0.00032787,           0.0062048,           0.0062048,           0.0062048
                  51,            0.014114,           0.0079681,           0.0010056,             0.93113,             0.94826,             0.98057,             0.93638,           0.0073814,           0.0049082,          0.00032805,           0.0061745,           0.0061745,           0.0061745
                  52,            0.013876,           0.0079536,          0.00094098,             0.93158,             0.94777,             0.98057,             0.93627,           0.0073834,           0.0049136,          0.00032793,           0.0061442,           0.0061442,           0.0061442
                  53,            0.013871,            0.007943,          0.00098969,             0.93131,             0.94847,              0.9806,             0.93664,           0.0073737,           0.0049165,          0.00032819,           0.0061139,           0.0061139,           0.0061139
                  54,            0.013878,           0.0079217,          0.00094284,             0.93055,             0.94933,             0.98063,             0.93731,           0.0073483,           0.0049181,          0.00032839,           0.0060836,           0.0060836,           0.0060836
                  55,            0.013953,           0.0079615,           0.0010544,             0.93074,             0.94935,             0.98066,              0.9373,            0.007348,           0.0049255,          0.00032805,           0.0060533,           0.0060533,           0.0060533
                  56,            0.013671,            0.007902,          0.00096103,             0.93085,             0.94903,              0.9807,             0.93718,           0.0073589,           0.0049213,          0.00032837,            0.006023,            0.006023,            0.006023
                  57,            0.013646,           0.0078284,          0.00094728,             0.93118,             0.94868,             0.98079,             0.93757,           0.0073465,           0.0049167,          0.00032763,           0.0059927,           0.0059927,           0.0059927
                  58,            0.013601,           0.0078256,          0.00092851,             0.93142,             0.94832,             0.98085,             0.93769,           0.0073384,           0.0049169,           0.0003269,           0.0059623,           0.0059623,           0.0059623
                  59,            0.013798,           0.0079244,          0.00098529,             0.93125,              0.9487,             0.98091,              0.9372,            0.007355,            0.004917,          0.00032679,            0.005932,            0.005932,            0.005932
                  60,            0.013501,           0.0077495,          0.00089833,             0.93079,             0.94899,             0.98099,             0.93728,           0.0073633,           0.0049094,          0.00032687,           0.0059017,           0.0059017,           0.0059017
                  61,            0.013564,           0.0077776,          0.00092124,             0.93148,             0.94909,             0.98107,             0.93754,            0.007361,           0.0049005,          0.00032732,           0.0058714,           0.0058714,           0.0058714
                  62,            0.013516,           0.0078271,          0.00095082,             0.93187,             0.94929,             0.98113,             0.93732,           0.0073721,           0.0049013,          0.00032731,           0.0058411,           0.0058411,           0.0058411
                  63,            0.013533,            0.007845,          0.00091993,             0.93133,             0.94974,             0.98114,             0.93724,           0.0073759,           0.0049031,          0.00032699,           0.0058108,           0.0058108,           0.0058108
                  64,            0.013319,           0.0077263,          0.00086547,             0.93185,              0.9491,              0.9812,             0.93699,           0.0073836,           0.0049044,          0.00032672,           0.0057805,           0.0057805,           0.0057805
                  65,            0.013363,           0.0077889,          0.00094894,             0.93169,             0.94942,             0.98127,             0.93706,            0.007383,            0.004898,          0.00032656,           0.0057502,           0.0057502,           0.0057502
                  66,            0.013446,           0.0077942,          0.00090667,             0.93142,             0.94961,             0.98132,             0.93704,           0.0073991,           0.0049015,          0.00032683,           0.0057199,           0.0057199,           0.0057199
                  67,            0.013526,           0.0078154,          0.00094401,             0.93078,             0.95025,             0.98136,             0.93698,           0.0074135,           0.0048985,          0.00032671,           0.0056896,           0.0056896,           0.0056896
                  68,            0.013259,           0.0077161,          0.00087262,             0.93111,             0.94992,             0.98142,             0.93718,           0.0074086,           0.0048965,          0.00032709,           0.0056593,           0.0056593,           0.0056593
                  69,             0.01312,           0.0077058,          0.00087762,             0.93127,             0.95027,             0.98149,             0.93718,           0.0074324,           0.0048942,           0.0003269,           0.0056289,           0.0056289,           0.0056289
                  70,            0.013229,           0.0076741,          0.00091382,             0.93211,             0.94975,             0.98153,             0.93684,           0.0074527,           0.0048894,          0.00032722,           0.0055986,           0.0055986,           0.0055986
                  71,            0.013323,           0.0076708,          0.00092065,             0.93195,             0.95038,             0.98155,             0.93661,           0.0074598,            0.004891,          0.00032688,           0.0055683,           0.0055683,           0.0055683
                  72,            0.013382,           0.0077798,          0.00092366,             0.93201,             0.94972,             0.98156,             0.93599,           0.0074773,           0.0048942,          0.00032678,            0.005538,            0.005538,            0.005538
                  73,            0.013047,           0.0076334,          0.00085921,             0.93252,             0.94957,              0.9816,             0.93587,           0.0074858,           0.0048949,          0.00032682,           0.0055077,           0.0055077,           0.0055077
                  74,            0.013122,            0.007687,          0.00091419,             0.93186,              0.9506,             0.98167,             0.93594,           0.0074914,           0.0048946,          0.00032673,           0.0054774,           0.0054774,           0.0054774
