   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.99135,             0.97274,             0.98899,             0.84484,            0.015846,            0.037459,           0.0014754,             0.01056,             0.01121,             0.94969,             0.00047,              2.9543,             0.75886,             0.10032,             0.05488,              0.6153,             0.99482,             0.96745,             0.84784,                 0.2,               3.828,                   0,             0.01372,              0.6929,              0.3385,                   0,             0.10406,             0.51664,                   0,                   0,                   0,                 0.5,             0.98655,                   0,                   0,                   3
             0.99096,              0.9686,             0.98851,             0.84962,            0.021323,            0.051218,           0.0034608,             0.01049,             0.01119,             0.94969,             0.00046,              3.0821,             0.94229,             0.11227,             0.06595,             0.60816,              0.8541,               1.056,              1.1433,                 0.2,              4.4619,                   0,             0.01212,             0.70088,             0.35636,                   0,             0.13594,             0.47832,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
              0.9877,              0.9683,             0.98795,              0.8388,            0.018206,            0.059503,           0.0020224,             0.01056,             0.01008,             0.93937,              0.0005,              3.1297,             0.81472,              0.1057,              0.0563,             0.53566,              1.0453,              1.1371,              1.0024,                 0.2,              4.7925,                   0,             0.01429,             0.66154,             0.37775,                   0,             0.10406,             0.47832,                   0,                   0,                   0,                 0.5,             0.95684,                   0,                   0,              2.7096
              0.9835,             0.96426,             0.98476,             0.80327,            0.028059,            0.047463,           0.0053291,              0.0133,               0.012,             0.94058,             0.00055,              3.3405,             0.78604,             0.11853,             0.06485,             0.61865,              1.1012,             0.96132,              1.0397,                 0.2,                3.93,                   0,             0.01284,             0.64395,             0.28585,                   0,             0.10406,             0.58085,                   0,                   0,                   0,                 0.5,             0.83783,                   0,                   0,              3.5963
             0.98968,             0.97214,             0.98984,             0.84379,            0.014726,            0.045149,           0.0014959,             0.01097,             0.01081,             0.94978,             0.00043,              2.7843,             0.73897,             0.10564,              0.0544,             0.55251,             0.89582,               1.052,             0.97425,                 0.2,              4.0292,                   0,             0.01652,             0.74758,             0.33298,                   0,             0.10355,             0.47548,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.98949,             0.97226,             0.98786,             0.84121,             0.01306,            0.039986,           0.0014823,             0.01056,             0.01049,             0.94114,             0.00047,              3.0068,             0.78476,             0.10564,             0.05542,               0.549,              0.9338,              1.0277,             0.94769,                 0.2,              3.5883,                   0,             0.01572,             0.68516,             0.34951,                   0,             0.10177,             0.47505,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.7625
             0.98935,             0.96731,             0.98832,              0.8414,            0.014933,            0.046031,           0.0018684,             0.01019,             0.01139,             0.92848,             0.00042,              3.0169,             0.74416,             0.10431,             0.05315,             0.53566,             0.94638,              1.1067,             0.95594,                 0.2,              3.8423,                   0,             0.01648,             0.68516,             0.34818,                   0,             0.10406,             0.48731,                   0,                   0,                   0,                 0.5,             0.98399,                   0,                   0,              2.8453
             0.99027,             0.96733,             0.98767,             0.84243,            0.016195,            0.043806,           0.0016648,             0.00914,              0.0106,             0.94788,              0.0004,              2.1665,             0.63519,             0.07694,             0.05954,             0.53566,             0.87878,               1.056,               0.804,                 0.2,              4.3909,                   0,             0.01683,              0.6874,             0.34151,                   0,             0.08135,             0.53084,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.2205
             0.98457,             0.96184,             0.98397,             0.78182,            0.020618,            0.065947,           0.0066989,             0.00839,             0.01113,             0.88089,             0.00046,              2.9543,             0.63874,             0.10883,             0.05441,             0.52248,              1.0433,              1.4915,             0.94769,                 0.2,              3.6223,                   0,              0.0159,             0.77771,             0.35636,                   0,             0.12113,             0.45704,                   0,                   0,                   0,                 0.5,             0.92104,                   0,                   0,                   2
             0.97185,             0.92882,             0.97038,             0.74097,            0.032465,            0.042225,            0.010732,             0.01102,             0.01316,                0.98,             0.00043,              2.4905,             0.80307,             0.13667,             0.06348,             0.55497,             0.92577,              0.7343,              1.1542,                 0.2,              3.0771,                   0,              0.0145,                 0.9,             0.36536,                   0,             0.10406,             0.59909,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              4.1863
